Section,Criteria,Topic1,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Description
Security,8.1.1,,Which of these is an example of Human Resources confidential information?,Salaries and benefits,Intellectual property,Client details,,a,
Security,8.1.1,,Which of these is considered commercially sensitive information?,Client details,Staff personal details,Usernames and passwords,,a,
Security,8.1.1,,Which of these is considered access information?,Usernames and passwords,Sales numbers,Contracts,,a,
Security,8.1.2,,Why must salary information be kept confidential?,To prevent competitors from offering higher wages,To allow employees to compare salaries,To share benefits publicly,,a,
Security,8.1.2,,Why must staff details be kept confidential?,To protect privacy and prevent competitors from contacting them,To allow public networking,To share achievements publicly,,a,
Security,8.1.2,,Why must intellectual property be kept confidential?,To prevent competitors from copying designs,To allow free sharing of ideas,To improve collaboration with competitors,,a,
Security,8.1.3,,What is a potential impact of failing to maintain confidentiality?,Increased trust,Financial loss and legal action,Improved security,,b,
Security,8.1.3,,Which of these is a financial consequence of failing to maintain confidentiality?,Fines and refunds,Increased earnings,Free advertising,,a,
Security,8.1.3,,Which of these is a legal consequence of failing to maintain confidentiality?,Legal action and lawsuits,Improved compliance,Increased security,,a,
Security,8.2.1,,Name something,This,That,other,,c,
Security,8.2.5,,What is a common business impact of leaking sensitive data?,Improved brand reputation,Regulatory fines and lawsuits,Lower security costs,,b,
Security,8.2.5,,Loss of sensitive data often leads to:,Customer churn and loss of trust,Higher NPS immediately,Automatic new sales,,a,
Security,8.2.5,,Unauthorised access to digital systems can allow attackers to:,Improve firewall rules,Exfiltrate data or alter configurations,Reduce detection,,b,
Security,8.2.5,,A likely result of unauthorised access is:,Better audit trails,Privilege escalation and lateral movement,Lower risk,,b,
Security,8.2.5,,Data corruption primarily impacts:,Data integrity and decision?making,Office layout,Screen brightness,,a,
Security,8.2.5,,Corrupted records in a finance system can cause:,Accurate reporting,Incorrect financial statements,Lower fraud risk,,b,
Security,8.2.5,,"Service disruption (e.g., DDoS) most directly causes:",Higher conversions,Reduced availability and lost revenue,Faster analytics,,b,
Security,8.2.5,,Extended downtime may lead to:,Improved SLAs,SLA breaches and compensation payments,Lower support tickets,,b,
Security,8.2.5,,Unauthorised access to restricted physical areas can result in:,Better safety,"Theft, tampering, or sabotage",Lower insurance cost,,b,
Security,8.2.5,,Physical breaches of server rooms can cause:,Faster backups,Direct hardware theft or data destruction,Cheaper power,,b,
Security,8.2.5,,A reputational impact of a breach is typically:,Increased public trust,Negative media coverage and brand damage,Guaranteed growth,,b,
Security,8.2.5,,Regulatory non?compliance after a data leak may trigger:,Awards,Investigations and administrative penalties,Tax refunds,,b,
Security,8.2.5,,Operational impact of ransomware includes:,Continuous operations,System lockout and operational standstill,Free upgrades,,b,
Security,8.2.5,,A data integrity incident typically requires:,No follow?up,Root?cause analysis and data restoration,Marketing only,,b,
Security,8.2.5,,Credential compromise often results in:,Reduced auditability,Unauthorised transactions or data access,No financial risk,,b,
Security,8.2.5,,Supply?chain disruption due to a provider outage can:,Improve SLA attainment,Cascade into your own service disruption,Have no effect,,b,
Digital Environments,7.3,Types of networks,Which network type typically covers the smallest geographical area?,LAN,PAN,WAN,MAN,b,PAN covers the smallest area (personal/near?body range).
Digital Environments,7.3,Types of networks,A LAN usually covers which type of area?,A single person?s workspace,A city,A building or campus,Multiple countries,c,A LAN typically spans a building or campus.
Digital Environments,7.3,Types of networks,Which network type spans across countries or continents?,PAN,MAN,WAN,LAN,c,"WAN interconnects over large, cross?country distances."
Digital Environments,7.3,Types of networks,Bluetooth is most commonly used in which type of network?,MAN,WAN,PAN,LAN,c,Bluetooth is a short?range PAN technology.
Digital Environments,7.3,Types of networks,Fibre optic cable is an example of which type of connection media?,Wireless,Copper-based,Guided/wired,Virtual,c,Fibre is a guided/wired medium using light in optical fibre.
Digital Environments,7.3,Types of networks,Wi?Fi is an example of what type of network media?,Wired,Wireless,Fibre,Satellite,b,Wi?Fi is a wireless radio medium.
Digital Environments,7.3,Types of networks,A MAN typically connects multiple:,Devices on a desk,Buildings in a single city,Countries,Rooms in a home,b,MAN links multiple buildings across a city.
