Section,Criteria,Topic1,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Description
Digital Environments - Networks,7.3,Connection Media,Which connection media is most susceptible to electromagnetic interference-,Fibre optic,Satellite,"Copper (e.g., UTP)",Wi-Fi,c,Copper cabling is most affected by EMI compared to fibre.
Digital Environments - Networks,7.3,Data Transmission,Which part of a data packet contains the data being transmitted-,Header,Payload,Trailer,Checksum,b,The payload is the actual user data in the packet.
Digital Environments - Networks,7.3,Data Transmission,CRC is used for:,Addressing,Error detection,Routing,Encryption,b,CRC provides error detection by checking frame integrity.
Digital Environments - Networks,7.3,Data Transmission,Packet switching can cause packet loss due to:,Server upgrades,Congestion,Low CPU usage,High memory availability,b,Congestion leads to queue drops and packet loss.
Digital Environments - Networks,7.3,Data Transmission,The trailer of a packet typically contains:,Source address,Destination address,Error-checking information,Routing instructions,c,"Frame trailers carry error-checking information (e.g., FCS)."
Digital Environments - Networks,7.3,Data Transmission,What is the primary purpose of a data packet-,To transmit data across a network,To store backup files,To identify hardware components,To encrypt Wi-Fi signals,a,To transmit data across a network
Digital Environments - Networks,7.3,Data Transmission,Which part of a data packet contains the actual data being carried-,Header,Payload,Trailer,Checksum,b,Payload
Digital Environments - Networks,7.3,Data Transmission,What does the header of a data packet usually contain-,Error-checking data,Source and destination addresses,Application data,Encryption keys,b,Source and destination addresses
Digital Environments - Networks,7.3,Data Transmission,What is the function of the trailer in a data packet-,Routing,Error detection,Addressing,Transporting data,b,Error detection
Digital Environments - Networks,7.3,Data Transmission,Which component is used in packets to detect errors-,IP address,MAC address,CRC,Router,c,CRC
Digital Environments - Networks,7.3,Data Transmission,CRC stands for:,Cyclic Redundancy Check,Central Routing Code,Circular Resource Control,Client Relay Connection,a,Cyclic Redundancy Check
Digital Environments - Networks,7.3,Data Transmission,Packet switching breaks data into:,Blocks,Packets,Frames,Signals,b,Packets
Digital Environments - Networks,7.3,Data Transmission,Which process allows packets to take different paths across a network-,Circuit switching,Packet switching,Signal modulation,Frequency hopping,b,Packet switching
Digital Environments - Networks,7.3,Data Transmission,A common cause of packet loss is:,High CPU speed,Network congestion,Low RAM usage,Strong Wi-Fi signal,b,Network congestion
Digital Environments - Networks,7.3,Data Transmission,Which of the following is NOT a cause of packet loss-,Hardware failure,Network congestion,Routing errors,Correct packet sequencing,d,Correct packet sequencing
Digital Environments - Networks,7.3,Data Transmission,Packet switching is mainly used in:,Postal systems,Circuit-based telephones,Modern digital networks,Water supply systems,c,Modern digital networks
Digital Environments - Networks,7.3,Data Transmission,Which term describes when packets arrive out of order-,Packet loss,Packet delay,Packet reordering,Packet duplication,c,Packet reordering
Digital Environments - Networks,7.3,Data Transmission,Which part of a packet ensures data has not been corrupted-,Header,Payload,CRC value,Router,c,CRC value
Digital Environments - Networks,7.3,Data Transmission,What happens if CRC detects an error-,Packet is accepted,Packet is re-sent,Packet is routed to a new server,Packet is stored,b,Packet is re-sent
